cluster_id	referent	in_clust
3514	CEQ48_RS16975	TW84_RS06355
3514	CEQ48_RS16975	EXA21_RS10845
3515	CEQ48_RS18140	CEQ48_RS18140
3516	CEQ48_RS18420	CEQ48_RS18420
3517	DLR65_RS18935	DLR65_RS18935
3518	DLR65_RS19100	DLR65_RS19100
3518	DLR65_RS19100	AACT71_RS15985
3519	DLR60_RS00620	DLR60_RS00620
3520	AACU04_RS03565	AACU04_RS03565
3521	AACU04_RS18625	AACU04_RS18625
3522	AACT71_RS11775	AACT71_RS11775
3523	AACT71_RS14000	AACT71_RS14000
3524	AACU00_RS11835	AACU00_RS11835
3525	AACU00_RS17625	AACU00_RS17625
3526	AACU23_RS07795	AACU23_RS07795
3526	AACU23_RS07795	EXA14_RS14810
3527	AACU23_RS10855	AACU23_RS10855
3528	AACU23_RS18125	AACU23_RS18125
3529	CEQ48_RS05975	CEQ48_RS05975
3529	CEQ48_RS05975	ET948_RS05595
3529	CEQ48_RS05975	TW84_RS19805
3530	CEQ48_RS06765	CEQ48_RS06765
3531	CEQ48_RS09285	CEQ48_RS09285
3532	CEQ48_RS10470	CEQ48_RS10470
3532	CEQ48_RS10470	TW84_RS16715
3532	CEQ48_RS10470	ET948_RS11165
3533	DLR58_RS08620	DLR58_RS08620
3533	DLR58_RS08620	TW84_RS13725
3533	DLR58_RS08620	ET948_RS06770
3534	DLR58_RS01000	DLR58_RS01000
3534	DLR58_RS01000	TW84_RS08715
3535	DLR58_RS12235	DLR58_RS12235
3536	DLR58_RS14235	DLR58_RS14235
3536	DLR58_RS14235	TW84_RS15075
3537	DLR58_RS16020	DLR58_RS16020
3537	DLR58_RS16020	TW84_RS22980
3537	DLR58_RS16020	ET948_RS12700
3538	DLR58_RS17570	DLR58_RS17570
3539	DLR59_RS00830	DLR59_RS00830
3540	DLR61_RS18380	DLR61_RS18380
3541	DLR65_RS19830	DLR65_RS19830
3542	DLR65_RS17365	DLR65_RS17365
3543	DLR65_RS19405	DLR65_RS19405
3544	DLR60_RS19965	DLR60_RS19965
3545	AACU04_RS09535	AACU04_RS09535
3545	AACU04_RS09535	AACU00_RS00915
3546	AACU04_RS15450	AACU04_RS15450
3546	AACU04_RS15450	EXA17_RS18095
3546	AACU04_RS15450	TW84_RS06835
3547	AACU04_RS16860	AACU04_RS16860
3548	AACU04_RS17035	AACU04_RS17035
3549	AACU04_RS18990	AACU04_RS18990
3550	AACT71_RS16145	AACT71_RS16145
3551	AACU00_RS00980	AACU00_RS00980
3552	AACU00_RS13450	AACU00_RS13450
3553	AACT69_RS18300	AACT69_RS18300
3553	AACT69_RS18300	AACU23_RS10080
3553	AACT69_RS18300	DLR62_RS19990
3553	AACT69_RS18300	EXA20_RS18340
3554	AACT74_RS05495	AACT74_RS05495
3555	AACU23_RS00440	AACU23_RS00440
3556	AACU23_RS13975	AACU23_RS13975
3557	CEQ48_RS06015	CEQ48_RS06015
3557	CEQ48_RS06015	ET948_RS05625
3557	CEQ48_RS06015	TW84_RS19840
3558	CEQ48_RS06185	CEQ48_RS06185
3558	CEQ48_RS06185	ET948_RS05785
3558	CEQ48_RS06185	TW84_RS05665
3559	CEQ48_RS20470	CEQ48_RS20470
3560	CEQ48_RS08140	CEQ48_RS08140
3560	CEQ48_RS08140	ET948_RS07780
3560	CEQ48_RS08140	TW84_RS16325
3561	CEQ48_RS09910	CEQ48_RS09910
3562	CEQ48_RS10170	CEQ48_RS10170
3562	CEQ48_RS10170	AACU00_RS00510
3563	CEQ48_RS11230	CEQ48_RS11230
3564	CEQ48_RS12470	CEQ48_RS12470
3565	CEQ48_RS13500	CEQ48_RS13500
3565	CEQ48_RS13500	EXA14_RS14440
3565	CEQ48_RS13500	ABS858_RS10805
3566	CEQ48_RS14245	CEQ48_RS14245
3567	CEQ48_RS14430	CEQ48_RS14430
3567	CEQ48_RS14430	ET948_RS00060
3567	CEQ48_RS14430	TW84_RS05930
3568	CEQ48_RS15425	CEQ48_RS15425
3569	CEQ48_RS16460	CEQ48_RS16460
3569	CEQ48_RS16460	ET948_RS02260
3569	CEQ48_RS16460	TW84_RS23450
3570	CEQ48_RS16740	CEQ48_RS16740
3570	CEQ48_RS16740	TW84_RS21160
3570	CEQ48_RS16740	ET948_RS02505
3571	CEQ48_RS17645	CEQ48_RS17645
3571	CEQ48_RS17645	ET948_RS03250
3572	CEQ48_RS17875	CEQ48_RS17875
3573	CEQ48_RS18755	CEQ48_RS18755
3573	CEQ48_RS18755	TW84_RS01740
3573	CEQ48_RS18755	EXA21_RS15115
3574	CEQ48_RS19040	CEQ48_RS19040
3575	CEQ48_RS10735	CEQ48_RS10735
3575	CEQ48_RS10735	TW84_RS03975
3575	CEQ48_RS10735	ET948_RS11010
3576	CEQ48_RS12545	CEQ48_RS12545
3577	CEQ48_RS13620	CEQ48_RS13620
3577	CEQ48_RS13620	TW84_RS16525
3577	CEQ48_RS13620	ET948_RS08860
3578	TW84_RS14475	TW84_RS14475
3578	TW84_RS14475	AACT69_RS14495
3578	TW84_RS14475	EXA14_RS19015
3579	TW84_RS14625	TW84_RS14625
3580	TW84_RS18315	TW84_RS18315
3581	TW84_RS18540	TW84_RS18540
3582	TW84_RS22290	TW84_RS22290
3583	JYA58_RS23460	JYA58_RS23460
3583	JYA58_RS23460	AACS08_RS19925
3584	JYA57_RS13770	JYA57_RS13770
3585	OH455_RS23035	OH455_RS23035
3586	AACS08_RS18595	AACS08_RS18595
3587	TW84_RS00650	TW84_RS00650
3588	TW84_RS00820	TW84_RS00820
3589	TW84_RS01005	TW84_RS01005
3590	TW84_RS09275	TW84_RS09275
3590	TW84_RS09275	CEQ48_RS07175
3590	TW84_RS09275	ET948_RS01205
3591	TW84_RS09440	TW84_RS09440
3591	TW84_RS09440	ET948_RS06245
3592	TW84_RS09615	TW84_RS09615
3592	TW84_RS09615	CEQ48_RS07915
3592	TW84_RS09615	ET948_RS07560
3593	TW84_RS13805	TW84_RS13805
3593	TW84_RS13805	DLR58_RS08610
3593	TW84_RS13805	ET948_RS06760
3594	TW84_RS13965	TW84_RS13965
3594	TW84_RS13965	CEQ48_RS15835
3595	TW84_RS14145	TW84_RS14145
3596	TW84_RS17570	TW84_RS17570
3597	HRU48_RS14875	HRU48_RS14875
3598	HRU48_RS23280	HRU48_RS23280
3599	JYA58_RS21435	JYA58_RS21435
3600	OH455_RS08235	OH455_RS08235
3601	AACS08_RS12285	AACS08_RS12285
3602	AACX92_RS12550	AACX92_RS12550
3603	TW84_RS01140	TW84_RS01140
3604	TW84_RS08795	TW84_RS08795
3604	TW84_RS08795	CEQ48_RS08670
3604	TW84_RS08795	ET948_RS08380
3605	TW84_RS08970	TW84_RS08970
3605	TW84_RS08970	CEQ48_RS15340
3605	TW84_RS08970	ET948_RS07055
3606	JYA58_RS23640	JYA58_RS23640
3607	ABS858_RS12450	ABS858_RS12450
3608	AACS08_RS11900	AACS08_RS11900
3609	AACV94_RS17810	AACV94_RS17810
3610	AACX92_RS22065	AACX92_RS22065
3611	AACX92_RS22495	AACX92_RS22495
3611	AACX92_RS22495	AACT69_RS10145
3612	TW84_RS02825	TW84_RS02825
3613	TW84_RS06780	TW84_RS06780
3614	TW84_RS10195	TW84_RS10195
3614	TW84_RS10195	ABS858_RS13190
3615	TW84_RS10390	TW84_RS10390
3615	TW84_RS10390	DLR58_RS00605
3616	TW84_RS10560	TW84_RS10560
3617	TW84_RS14795	TW84_RS14795
3618	TW84_RS14960	TW84_RS14960
3618	TW84_RS14960	DLR64_RS16615
3619	TW84_RS18835	TW84_RS18835
3620	TW84_RS19005	TW84_RS19005
3621	TW84_RS23585	TW84_RS23585
3622	HRU48_RS15690	HRU48_RS15690
3623	JYA58_RS15135	JYA58_RS15135
3624	JYA58_RS04115	JYA58_RS04115
3625	JYA57_RS15505	JYA57_RS15505
3626	ABS858_RS02310	ABS858_RS02310
3627	AACS08_RS01415	AACS08_RS01415
3628	AACS08_RS17520	AACS08_RS17520
3629	AACV94_RS22335	AACV94_RS22335
3630	TW84_RS01585	TW84_RS01585
3631	TW84_RS01820	TW84_RS01820
3631	TW84_RS01820	CEQ48_RS18660
3631	TW84_RS01820	ET948_RS04320
3632	TW84_RS01985	TW84_RS01985
3633	TW84_RS08270	TW84_RS08270
3634	TW84_RS08435	TW84_RS08435
3634	TW84_RS08435	ET948_RS08560
3634	TW84_RS08435	DLR58_RS12860
3635	TW84_RS12525	TW84_RS12525
3635	TW84_RS12525	ET948_RS17655
3636	TW84_RS15715	TW84_RS15715
3636	TW84_RS15715	ET948_RS00825
3636	TW84_RS15715	CEQ48_RS15165
3637	TW84_RS15885	TW84_RS15885
3637	TW84_RS15885	ET948_RS00750
3637	TW84_RS15885	CEQ48_RS15090
3638	TW84_RS16080	TW84_RS16080
3639	HRU48_RS04740	HRU48_RS04740
3640	JYA58_RS03205	JYA58_RS03205
3641	JYA58_RS23080	JYA58_RS23080
3642	JYA58_RS23300	JYA58_RS23300
3643	OH455_RS19165	OH455_RS19165
3644	ABS858_RS04480	ABS858_RS04480
3645	AACV94_RS00730	AACV94_RS00730
3646	TW84_RS03555	TW84_RS03555
3647	TW84_RS03740	TW84_RS03740
3648	TW84_RS07615	TW84_RS07615
3648	TW84_RS07615	HRU48_RS16645
3648	TW84_RS07615	ET948_RS14460
3648	TW84_RS07615	CEQ48_RS05245
3649	TW84_RS07790	TW84_RS07790
3650	TW84_RS11865	TW84_RS11865
3651	DLR62_RS16010	DLR62_RS16010
3652	DLR62_RS19350	DLR62_RS19350
3653	DLR59_RS11605	DLR59_RS11605
3653	DLR59_RS11605	MJ623_RS07425
3653	DLR59_RS11605	OH455_RS20870
3654	DLR61_RS19085	DLR61_RS19085
3655	DLR63_RS18475	DLR63_RS18475
3656	DLR65_RS12530	DLR65_RS12530
3657	DLR65_RS05545	DLR65_RS05545
3658	DLR60_RS17985	DLR60_RS17985
3659	AACU04_RS16715	AACU04_RS16715
3660	AACU04_RS17050	AACU04_RS17050
3661	AACT71_RS16195	AACT71_RS16195
3662	AACU00_RS06070	AACU00_RS06070
3662	AACU00_RS06070	AACX92_RS22505
3662	AACU00_RS06070	DLR64_RS18550
3663	AACU00_RS14725	AACU00_RS14725
3664	AACT69_RS14540	AACT69_RS14540
3664	AACT69_RS14540	AACU23_RS14565
3665	AACT74_RS08865	AACT74_RS08865
3666	AACU23_RS04015	AACU23_RS04015
3667	AACU23_RS11370	AACU23_RS11370
3668	AACU23_RS13995	AACU23_RS13995
3668	AACU23_RS13995	EXA17_RS15635
3668	AACU23_RS13995	ET948_RS01950
3668	AACU23_RS13995	EXA19_RS14825
3668	AACU23_RS13995	AACU00_RS17465
3668	AACU23_RS13995	EXA14_RS16165
3668	AACU23_RS13995	AACS08_RS11080
3668	AACU23_RS13995	DLR58_RS01190
3668	AACU23_RS13995	EXA19_RS12570
3669	CEQ48_RS07235	CEQ48_RS07235
3669	CEQ48_RS07235	TW84_RS13400
3669	CEQ48_RS07235	ET948_RS01140
3670	CEQ48_RS09165	CEQ48_RS09165
3671	CEQ48_RS09930	CEQ48_RS09930
3672	CEQ48_RS10185	CEQ48_RS10185
3673	CEQ48_RS10985	CEQ48_RS10985
3673	CEQ48_RS10985	TW84_RS12810
3673	CEQ48_RS10985	EXA21_RS14610
3674	CEQ48_RS11255	CEQ48_RS11255
3674	CEQ48_RS11255	ET948_RS10260
3674	CEQ48_RS11255	HRU48_RS13225
3675	CEQ48_RS12005	CEQ48_RS12005
3675	CEQ48_RS12005	TW84_RS07965
3676	CEQ48_RS12220	CEQ48_RS12220
3676	CEQ48_RS12220	ET948_RS13835
3676	CEQ48_RS12220	TW84_RS04255
3676	CEQ48_RS12220	DLR58_RS14390
3676	CEQ48_RS12220	ET948_RS10985
3677	CEQ48_RS13035	CEQ48_RS13035
3677	CEQ48_RS13035	TW84_RS04825
3677	CEQ48_RS13035	ET948_RS11600
3678	CEQ48_RS13515	CEQ48_RS13515
3679	CEQ48_RS14260	CEQ48_RS14260
3679	CEQ48_RS14260	TW84_RS18935
3680	CEQ48_RS14455	CEQ48_RS14455
3680	CEQ48_RS14455	ET948_RS00085
3680	CEQ48_RS14455	TW84_RS05905
3681	CEQ48_RS15440	CEQ48_RS15440
3681	CEQ48_RS15440	TW84_RS09075
3681	CEQ48_RS15440	ET948_RS06975
3682	CEQ48_RS15705	CEQ48_RS15705
3682	CEQ48_RS15705	TW84_RS13830
3682	CEQ48_RS15705	EXA16_RS01730
3683	CEQ48_RS17665	CEQ48_RS17665
3683	CEQ48_RS17665	ET948_RS03265
3683	CEQ48_RS17665	TW84_RS21815
3684	CEQ48_RS17890	CEQ48_RS17890
3684	CEQ48_RS17890	EXA23_RS15415
3685	CEQ48_RS00160	CEQ48_RS00160
3685	CEQ48_RS00160	TW84_RS19300
3686	CEQ48_RS12865	CEQ48_RS12865
3686	CEQ48_RS12865	TW84_RS04385
3686	CEQ48_RS12865	ET948_RS11405
3687	CEQ48_RS13930	CEQ48_RS13930
3687	CEQ48_RS13930	TW84_RS22985
3688	CEQ48_RS14725	CEQ48_RS14725
3689	CEQ48_RS20430	CEQ48_RS20430
3690	CEQ48_RS15915	CEQ48_RS15915
3690	CEQ48_RS15915	TW84_RS21695
3690	CEQ48_RS15915	ET948_RS06525
3691	CEQ48_RS19720	CEQ48_RS19720
3691	CEQ48_RS19720	TW84_RS16150
3691	CEQ48_RS19720	ET948_RS05040
3692	CEQ48_RS01720	CEQ48_RS01720
3693	CEQ48_RS03025	CEQ48_RS03025
3694	CEQ48_RS20055	CEQ48_RS20055
3695	CEQ48_RS05170	CEQ48_RS05170
3696	DLR58_RS00455	DLR58_RS00455
3697	DLR58_RS19395	DLR58_RS19395
3697	DLR58_RS19395	AACS08_RS03430
3698	ET948_RS00105	ET948_RS00105
3698	ET948_RS00105	TW84_RS05885
3698	ET948_RS00105	DLR58_RS08090
3699	ET948_RS00265	ET948_RS00265
3700	ET948_RS00465	ET948_RS00465
3701	ET948_RS10180	ET948_RS10180
3702	ET948_RS11515	ET948_RS11515
3703	ET948_RS11680	ET948_RS11680
3704	ET948_RS11855	ET948_RS11855
3705	ET948_RS15960	ET948_RS15960
3705	ET948_RS15960	TW84_RS19680
3706	ET948_RS16160	ET948_RS16160
3707	JYA58_RS18040	JYA58_RS18040
3708	JYA58_RS23700	JYA58_RS23700
3709	JYA57_RS13055	JYA57_RS13055
3710	ABS858_RS12540	ABS858_RS12540
3711	AACS08_RS11910	AACS08_RS11910
3712	AACX92_RS22320	AACX92_RS22320
3713	AACX92_RS22510	AACX92_RS22510
3714	TW84_RS02670	TW84_RS02670
3714	TW84_RS02670	GPX92_RS01755
3715	TW84_RS06640	TW84_RS06640
3716	TW84_RS06795	TW84_RS06795
3717	TW84_RS10220	TW84_RS10220
3718	TW84_RS10575	TW84_RS10575
3719	TW84_RS14810	TW84_RS14810
3720	TW84_RS18850	TW84_RS18850
3721	TW84_RS19020	TW84_RS19020
3722	HRU48_RS18440	HRU48_RS18440
3723	JYA58_RS17325	JYA58_RS17325
3724	JYA58_RS04130	JYA58_RS04130
3724	JYA58_RS04130	ABS858_RS04425
3725	JYA57_RS03540	JYA57_RS03540
3726	ABS858_RS02325	ABS858_RS02325
3727	AACS08_RS17535	AACS08_RS17535
3728	TW84_RS01835	TW84_RS01835
3728	TW84_RS01835	CEQ48_RS18640
3728	TW84_RS01835	ET948_RS04305
3729	TW84_RS02000	TW84_RS02000
3730	TW84_RS08285	TW84_RS08285
3731	TW84_RS12115	TW84_RS12115
3732	TW84_RS12300	TW84_RS12300
3733	TW84_RS12555	TW84_RS12555
3734	TW84_RS15730	TW84_RS15730
3735	TW84_RS15900	TW84_RS15900
3735	TW84_RS15900	ET948_RS00765
3735	TW84_RS15900	CEQ48_RS15105
3736	TW84_RS16095	TW84_RS16095
3737	JYA58_RS22890	JYA58_RS22890
3738	JYA58_RS23095	JYA58_RS23095
3739	JYA62_RS25200	JYA62_RS25200
3740	JYA57_RS05130	JYA57_RS05130
3741	AACS08_RS03640	AACS08_RS03640
3741	AACS08_RS03640	TW84_RS10165
3742	AACX92_RS00930	AACX92_RS00930
3743	TW84_RS03570	TW84_RS03570
3744	TW84_RS03755	TW84_RS03755
3745	TW84_RS07630	TW84_RS07630
3745	TW84_RS07630	DLR58_RS05110
3745	TW84_RS07630	ET948_RS13110
3746	TW84_RS07805	TW84_RS07805
3747	TW84_RS08000	TW84_RS08000
3748	TW84_RS11880	TW84_RS11880
3748	TW84_RS11880	DLR58_RS00095
3748	TW84_RS11880	EXA17_RS08495
3749	TW84_RS12045	TW84_RS12045
3750	TW84_RS16255	TW84_RS16255
3750	TW84_RS16255	DLR58_RS04120
3750	TW84_RS16255	ET948_RS07850
3751	TW84_RS16445	TW84_RS16445
3752	TW84_RS20880	TW84_RS20880
3753	TW84_RS21050	TW84_RS21050
3754	JYA58_RS12055	JYA58_RS12055
3755	JYA58_RS06300	JYA58_RS06300
3756	JYA57_RS01865	JYA57_RS01865
3757	OH455_RS07410	OH455_RS07410
3758	OH455_RS10685	OH455_RS10685
3759	AACS08_RS14155	AACS08_RS14155
3760	AACX92_RS10755	AACX92_RS10755
3760	AACX92_RS10755	TW84_RS07050
3761	TW84_RS19260	TW84_RS19260
3762	TW84_RS19425	TW84_RS19425
3763	TW84_RS19580	TW84_RS19580
3764	TW84_RS23385	TW84_RS23385
3764	TW84_RS23385	JYA58_RS18360
3765	HRU48_RS20870	HRU48_RS20870
3766	JYA58_RS05040	JYA58_RS05040
3767	JYA57_RS04640	JYA57_RS04640
3768	AACS08_RS02610	AACS08_RS02610
3769	AACV94_RS04285	AACV94_RS04285
3770	TW84_RS03110	TW84_RS03110
3771	TW84_RS03495	TW84_RS03495
3771	TW84_RS03495	DLR58_RS17450
3771	TW84_RS03495	ET948_RS17210
3772	TW84_RS09915	TW84_RS09915
3772	TW84_RS09915	ET948_RS08980
3772	TW84_RS09915	DLR58_RS09085
3773	TW84_RS10110	TW84_RS10110
3774	TW84_RS13285	TW84_RS13285
3774	TW84_RS13285	ET948_RS07125
3774	TW84_RS13285	CEQ48_RS07490
3775	TW84_RS13610	TW84_RS13610
3775	TW84_RS13610	ET948_RS06425
3775	TW84_RS13610	DLR58_RS01540
3776	TW84_RS17815	TW84_RS17815
3776	TW84_RS17815	ET948_RS14145
3776	TW84_RS17815	DLR58_RS10090
3777	TW84_RS18000	TW84_RS18000
3777	TW84_RS18000	CEQ48_RS04760
3778	TW84_RS24830	TW84_RS24830
3779	TW84_RS10120	TW84_RS10120
3780	TW84_RS13295	TW84_RS13295
3780	TW84_RS13295	ET948_RS07115
3780	TW84_RS13295	CEQ48_RS07480
3781	TW84_RS22425	TW84_RS22425
3781	TW84_RS22425	CEQ48_RS16410
3781	TW84_RS22425	EXA23_RS15135
3782	TW84_RS22610	TW84_RS22610
3783	HRU48_RS02765	HRU48_RS02765
3784	HRU48_RS22655	HRU48_RS22655
3785	TW84_RS12720	TW84_RS12720
3786	TW84_RS16795	TW84_RS16795
3786	TW84_RS16795	DLR58_RS14615
3787	TW84_RS16980	TW84_RS16980
3788	TW84_RS20235	TW84_RS20235
3788	TW84_RS20235	CEQ48_RS18465
3788	TW84_RS20235	GPX87_RS06475
3789	TW84_RS20415	TW84_RS20415
3789	TW84_RS20415	ET948_RS06095
3789	TW84_RS20415	CEQ48_RS06525
3790	TW84_RS20640	TW84_RS20640
3790	TW84_RS20640	ET948_RS10735
3791	HRU48_RS09745	HRU48_RS09745
3792	HRU48_RS23375	HRU48_RS23375
3793	JYA58_RS16135	JYA58_RS16135
3794	JYA57_RS14680	JYA57_RS14680
3795	JYA57_RS10730	JYA57_RS10730
3796	OH455_RS02675	OH455_RS02675
3797	ABS858_RS10880	ABS858_RS10880
3798	AACS08_RS11090	AACS08_RS11090
3799	AACS08_RS23845	AACS08_RS23845
3800	TW84_RS02180	TW84_RS02180
3800	TW84_RS02180	ET948_RS10745
3800	TW84_RS02180	CEQ48_RS11990
3801	TW84_RS02340	TW84_RS02340
3802	TW84_RS02515	TW84_RS02515
3802	TW84_RS02515	CEQ48_RS04065
3802	TW84_RS02515	ET948_RS17435
3803	TW84_RS07435	TW84_RS07435
3804	TW84_RS11145	TW84_RS11145
3804	TW84_RS11145	CEQ48_RS03400
3805	TW84_RS11305	TW84_RS11305
3805	TW84_RS11305	ET948_RS11780
3806	TW84_RS11505	TW84_RS11505
3806	TW84_RS11505	ET948_RS13770
3806	TW84_RS11505	CEQ48_RS12370
3807	TW84_RS15210	TW84_RS15210
3808	TW84_RS15430	TW84_RS15430
3808	TW84_RS15430	CEQ48_RS03735
3808	TW84_RS15430	ET948_RS10605
3809	CEQ48_RS00985	CEQ48_RS00985
3810	CEQ48_RS01495	CEQ48_RS01495
3811	CEQ48_RS03320	CEQ48_RS03320
3812	CEQ48_RS04365	CEQ48_RS04365
3813	CEQ48_RS05385	CEQ48_RS05385
3814	DLR58_RS00325	DLR58_RS00325
3814	DLR58_RS00325	TW84_RS11285
3814	DLR58_RS00325	ET948_RS17270
3815	DLR58_RS04400	DLR58_RS04400
3815	DLR58_RS04400	TW84_RS22945
3815	DLR58_RS04400	ET948_RS08200
3816	DLR58_RS04700	DLR58_RS04700
3816	DLR58_RS04700	TW84_RS10965
3816	DLR58_RS04700	ET948_RS01980
3817	DLR58_RS05840	DLR58_RS05840
3817	DLR58_RS05840	EXA19_RS15260
3818	DLR58_RS09190	DLR58_RS09190
3818	DLR58_RS09190	ET948_RS08890
3818	DLR58_RS09190	TW84_RS16460
3819	DLR58_RS11075	DLR58_RS11075
3819	DLR58_RS11075	TW84_RS19475
3820	DLR58_RS12145	DLR58_RS12145
3820	DLR58_RS12145	TW84_RS17290
3821	DLR58_RS12475	DLR58_RS12475
3821	DLR58_RS12475	ET948_RS10470
3822	DLR58_RS14985	DLR58_RS14985
3823	DLR58_RS15335	DLR58_RS15335
3824	DLR58_RS17000	DLR58_RS17000
3824	DLR58_RS17000	TW84_RS16860
3824	DLR58_RS17000	ET948_RS12110
3825	DLR58_RS18220	DLR58_RS18220
3825	DLR58_RS18220	ET948_RS16945
3825	DLR58_RS18220	TW84_RS20570
3826	DLR62_RS19625	DLR62_RS19625
3827	DLR62_RS18875	DLR62_RS18875
3827	DLR62_RS18875	EXA16_RS14345
3828	DLR62_RS19190	DLR62_RS19190
3828	DLR62_RS19190	HRU48_RS14895
3829	DLR59_RS16710	DLR59_RS16710
3830	DLR65_RS13865	DLR65_RS13865
3831	DLR65_RS01945	DLR65_RS01945
3832	DLR65_RS17960	DLR65_RS17960
3833	DLR65_RS19290	DLR65_RS19290
3834	AACU04_RS02365	AACU04_RS02365
3835	AACU04_RS08215	AACU04_RS08215
3836	AACT71_RS11845	AACT71_RS11845
3836	AACT71_RS11845	CEQ48_RS03990
3837	AACT71_RS16750	AACT71_RS16750
3838	AACU00_RS13945	AACU00_RS13945
3839	AACT69_RS05245	AACT69_RS05245
3840	AACT69_RS15860	AACT69_RS15860
3841	AACU23_RS08830	AACU23_RS08830
3842	AACU23_RS18165	AACU23_RS18165
3843	CEQ48_RS05640	CEQ48_RS05640
3843	CEQ48_RS05640	TW84_RS11770
3843	CEQ48_RS05640	ET948_RS05270
3844	CEQ48_RS05840	CEQ48_RS05840
3844	CEQ48_RS05840	TW84_RS22060
3844	CEQ48_RS05840	ET948_RS05480
3845	CEQ48_RS06810	CEQ48_RS06810
3845	CEQ48_RS06810	TW84_RS09325
3846	CEQ48_RS08400	CEQ48_RS08400
3846	CEQ48_RS08400	ET948_RS08110
3846	CEQ48_RS08400	TW84_RS06155
3847	EXA17_RS15250	EXA17_RS15250
3848	EXA18_RS11150	EXA18_RS11150
3849	EXA18_RS06475	EXA18_RS06475
3850	EXA18_RS06635	EXA18_RS06635
3850	EXA18_RS06635	JYA58_RS04170
3851	EXA20_RS16065	EXA20_RS16065
3852	EXA22_RS17125	EXA22_RS17125
3853	EXA22_RS12410	EXA22_RS12410
3854	MJ623_RS15100	MJ623_RS15100
3855	MJ623_RS18625	MJ623_RS18625
3856	ET948_RS02135	ET948_RS02135
3857	ET948_RS02325	ET948_RS02325
3857	ET948_RS02325	TW84_RS19905
3857	ET948_RS02325	CEQ48_RS16540
3858	ET948_RS15325	ET948_RS15325
3859	GPX87_RS13910	GPX87_RS13910
3859	GPX87_RS13910	TW84_RS15290
3859	GPX87_RS13910	CEQ48_RS00150
3860	GPX87_RS14385	GPX87_RS14385
3861	EXA14_RS18105	EXA14_RS18105
3862	EXA15_RS16290	EXA15_RS16290
3863	EXA17_RS11800	EXA17_RS11800
3863	EXA17_RS11800	CEQ48_RS13280
3863	EXA17_RS11800	TW84_RS10440
3864	EXA18_RS07750	EXA18_RS07750
3865	EXA19_RS13605	EXA19_RS13605
3866	EXA19_RS17240	EXA19_RS17240
3867	EXA22_RS13775	EXA22_RS13775
3868	EXA22_RS10900	EXA22_RS10900
3868	EXA22_RS10900	EXA20_RS07470
3869	MJ623_RS18300	MJ623_RS18300
3870	ET948_RS04140	ET948_RS04140
3870	ET948_RS04140	TW84_RS01750
3870	ET948_RS04140	CEQ48_RS18745
3871	ET948_RS06860	ET948_RS06860
3871	ET948_RS06860	TW84_RS13780
3871	ET948_RS06860	DLR58_RS08725
3872	ET948_RS07025	ET948_RS07025
3872	ET948_RS07025	CEQ48_RS15380
3872	ET948_RS07025	TW84_RS09015
3873	ET948_RS13495	ET948_RS13495
3874	ET948_RS13685	ET948_RS13685
3874	ET948_RS13685	TW84_RS01230
3874	ET948_RS13685	CEQ48_RS10945
3875	ET948_RS13850	ET948_RS13850
3875	ET948_RS13850	CEQ48_RS12205
3875	ET948_RS13850	TW84_RS04230
3876	GPX94_RS03450	GPX94_RS03450
3877	EXA14_RS12535	EXA14_RS12535
3877	EXA14_RS12535	AACX92_RS22410
3878	EXA14_RS15350	EXA14_RS15350
3879	EXA16_RS00325	EXA16_RS00325
3880	EXA17_RS18830	EXA17_RS18830
3881	EXA22_RS06815	EXA22_RS06815
3882	MJ623_RS09700	MJ623_RS09700
3882	MJ623_RS09700	TW84_RS23065
3882	MJ623_RS09700	DLR58_RS06605
3883	EXA23_RS16275	EXA23_RS16275
3884	MJ623_RS18825	MJ623_RS18825
3885	ET948_RS01825	ET948_RS01825
3886	ET948_RS02120	ET948_RS02120
3887	ET948_RS07175	ET948_RS07175
3887	ET948_RS07175	EXA14_RS15415
3887	ET948_RS07175	TW84_RS08610
3888	ET948_RS07345	ET948_RS07345
3888	ET948_RS07345	TW84_RS14245
3888	ET948_RS07345	CEQ48_RS07685
3889	ET948_RS07535	ET948_RS07535
3890	ET948_RS13115	ET948_RS13115
3891	ET948_RS16265	ET948_RS16265
3892	ET948_RS16445	ET948_RS16445
3893	ET948_RS16630	ET948_RS16630
3893	ET948_RS16630	CEQ48_RS02695
3894	GPX87_RS06950	GPX87_RS06950
3895	GPX92_RS02805	GPX92_RS02805
3896	EXA14_RS16835	EXA14_RS16835
3897	EXA18_RS15430	EXA18_RS15430
3898	EXA19_RS14925	EXA19_RS14925
3898	EXA19_RS14925	JYA58_RS21915
3899	EXA22_RS05565	EXA22_RS05565
3900	MJ623_RS19660	MJ623_RS19660
3901	MJ623_RS12190	MJ623_RS12190
3902	MJ623_RS19165	MJ623_RS19165
3903	ET948_RS03620	ET948_RS03620
3903	ET948_RS03620	TW84_RS16030
3903	ET948_RS03620	DLR58_RS15315
3904	ET948_RS05375	ET948_RS05375
3904	ET948_RS05375	CEQ48_RS05725
3904	ET948_RS05375	TW84_RS21955
3905	ET948_RS07895	ET948_RS07895
3905	ET948_RS07895	CEQ48_RS11115
3906	ET948_RS08230	ET948_RS08230
3906	ET948_RS08230	TW84_RS05830
3906	ET948_RS08230	CEQ48_RS08520
3907	ET948_RS08410	ET948_RS08410
